,0
feature_0,3.668302e-05
feature_1,0.00031393894
feature_2,2.7898135e-05
feature_3,0.0004486974
feature_4,0.00032651777
feature_5,0.000751132
feature_6,0.0007685377
feature_7,0.00011687747
feature_8,0.0001919663
feature_9,0.00033714544
feature_10,0.00016521597
feature_11,2.878529e-05
feature_12,0.0001736739
feature_13,2.6275686e-05
feature_14,1.2576144e-06
feature_15,0.00011598057
feature_16,0.0
feature_17,0.00022353735
feature_18,7.994477e-05
feature_19,0.0002717508
feature_20,0.0
feature_21,0.00021081865
feature_22,0.0
feature_23,6.703294e-05
feature_24,0.00032817185
feature_25,8.920371e-06
feature_26,0.00036701077
feature_27,0.00030478145
feature_28,0.00027819077
feature_29,5.8003566e-06
feature_30,0.0001400109
feature_31,0.0008836399
feature_32,0.00013602561
feature_33,5.154245e-06
feature_34,1.8386276e-06
feature_35,5.0774925e-06
feature_36,0.0
feature_37,0.000739536
feature_38,0.00060004654
feature_39,0.0006534436
feature_40,0.00095978245
feature_41,0.0015859645
feature_42,0.0011941198
feature_43,0.0016728084
feature_44,0.0016151221
feature_45,0.0023562957
feature_46,0.00030044626
feature_47,0.000117264084
feature_48,0.0002595214
feature_49,0.00029285438
feature_50,0.00026774502
feature_51,0.00016813529
feature_52,2.1957218e-05
feature_53,0.0003779299
feature_54,0.0
feature_55,0.0009957106
feature_56,0.0002936975
feature_57,0.0008438919
feature_58,0.00022821693
feature_59,8.2594845e-05
feature_60,0.0010971776
feature_61,0.00083198963
feature_62,0.0012866433
feature_63,0.0022544716
feature_64,0.0009573398
feature_65,0.00064829155
feature_66,0.00042586014
feature_67,0.0010428247
feature_68,0.00086920586
feature_69,0.00024517917
feature_70,9.5288306e-05
feature_71,0.0002825972
feature_72,8.753349e-05
feature_73,0.00014589068
feature_74,5.9891823e-05
feature_75,5.5358538e-05
feature_76,4.255677e-06
feature_77,0.0
feature_78,0.00037246893
feature_79,0.00013647765
feature_80,3.0403724e-05
feature_81,0.00015318765
feature_82,2.8664576e-06
feature_83,0.00091913895
feature_84,0.00057167857
feature_85,0.0
feature_86,0.00069383514
feature_87,0.00018122657
feature_88,5.808287e-06
feature_89,0.0004105168
feature_90,0.00076364947
feature_91,0.0
feature_92,0.00043355222
feature_93,0.00034191165
feature_94,0.00011425808
feature_95,0.0
feature_96,0.0008412381
feature_97,1.551133e-06
feature_98,0.0006917381
feature_99,0.00044045475
feature_100,3.889854e-05
feature_101,0.0
feature_102,0.00081209186
feature_103,0.0
feature_104,0.00046415886
feature_105,0.0004228488
feature_106,0.0
feature_107,0.0004562978
feature_108,0.0009599515
feature_109,0.00016229339
feature_110,0.0008788969
feature_111,0.00023452686
feature_112,0.00020205286
feature_113,0.0
feature_114,0.0003891073
feature_115,0.0
feature_116,0.00062864064
feature_117,0.00028022827
feature_118,0.0
feature_119,0.0009728895
feature_120,0.0003983731
feature_121,0.00045944558
feature_122,0.0
feature_123,0.00018402631
feature_124,0.00036162953
feature_125,0.00019413371
feature_126,0.00014611438
feature_127,0.00012825226
feature_128,2.5168234e-07
feature_129,0.00044463683
feature_3+feature_4,0.0
feature_3+feature_5,0.00067673094
feature_3+feature_27,0.00018673134
feature_3+feature_31,0.00013364722
feature_3+feature_37,0.001514458
feature_3+feature_39,0.0007433126
feature_3+feature_40,0.0
feature_3+feature_41,0.0
feature_3+feature_42,0.0
feature_3+feature_43,0.0
feature_3+feature_44,0.0
feature_3+feature_45,0.0
feature_3+feature_62,0.0
feature_3+feature_63,0.0
feature_3+feature_77,0.00096549833
feature_3+feature_95,0.00030110203
feature_3+feature_113,0.0003476893
feature_3+feature_120,0.00089675165
feature_3+feature_121,0.00200778
feature_4+feature_3,0.0
feature_4+feature_5,0.00052382983
feature_4+feature_27,0.0001648687
feature_4+feature_31,0.00028915648
feature_4+feature_37,0.0
feature_4+feature_39,0.0012701993
feature_4+feature_40,0.0
feature_4+feature_41,0.0
feature_4+feature_42,0.0
feature_4+feature_43,0.0
feature_4+feature_44,0.0
feature_4+feature_45,0.0
feature_4+feature_62,0.0
feature_4+feature_63,0.0
feature_4+feature_77,0.0
feature_4+feature_95,0.0008142041
feature_4+feature_113,0.0009572922
feature_4+feature_120,0.00074469583
feature_4+feature_121,0.0012658475
feature_5+feature_3,0.0
feature_5+feature_4,0.0
feature_5+feature_27,0.00023567614
feature_5+feature_31,0.00023085978
feature_5+feature_37,0.00015077421
feature_5+feature_39,0.0013737709
feature_5+feature_40,0.0
feature_5+feature_41,0.0
feature_5+feature_42,0.0
feature_5+feature_43,0.0
feature_5+feature_44,0.0
feature_5+feature_45,0.0
feature_5+feature_62,0.0
feature_5+feature_63,0.0
feature_5+feature_77,0.0
feature_5+feature_95,0.0
feature_5+feature_113,0.00068321166
feature_5+feature_120,0.00079197774
feature_5+feature_121,0.0010396922
feature_27+feature_3,0.0
feature_27+feature_4,0.0
feature_27+feature_5,0.0
feature_27+feature_31,0.0
feature_27+feature_37,0.0007569582
feature_27+feature_39,0.0015195555
feature_27+feature_40,0.0
feature_27+feature_41,0.0
feature_27+feature_42,0.0
feature_27+feature_43,0.0
feature_27+feature_44,0.0
feature_27+feature_45,0.0
feature_27+feature_62,0.0
feature_27+feature_63,0.0
feature_27+feature_77,0.0
feature_27+feature_95,0.0
feature_27+feature_113,0.0
feature_27+feature_120,0.00028375923
feature_27+feature_121,2.390045e-05
feature_31+feature_3,0.0
feature_31+feature_4,0.0
feature_31+feature_5,0.0
feature_31+feature_27,0.0
feature_31+feature_37,0.000256357
feature_31+feature_39,0.00051890453
feature_31+feature_40,0.0
feature_31+feature_41,0.0
feature_31+feature_42,0.0
feature_31+feature_43,0.0
feature_31+feature_44,0.0
feature_31+feature_45,0.0
feature_31+feature_62,0.0
feature_31+feature_63,0.0
feature_31+feature_77,0.0
feature_31+feature_95,0.0
feature_31+feature_113,0.0
feature_31+feature_120,0.0
feature_31+feature_121,0.00021115376
feature_37+feature_3,0.0
feature_37+feature_4,0.0
feature_37+feature_5,0.0
feature_37+feature_27,0.0
feature_37+feature_31,0.0
feature_37+feature_39,0.0003671825
feature_37+feature_40,0.0
feature_37+feature_41,0.0
feature_37+feature_42,0.0
feature_37+feature_43,0.0
feature_37+feature_44,0.0
feature_37+feature_45,0.0
feature_37+feature_62,0.0
feature_37+feature_63,0.0
feature_37+feature_77,0.0
feature_37+feature_95,0.0
feature_37+feature_113,0.0
feature_37+feature_120,0.0
feature_37+feature_121,0.0
feature_39+feature_3,0.0
feature_39+feature_4,0.0
feature_39+feature_5,0.0
feature_39+feature_27,0.0
feature_39+feature_31,0.0
feature_39+feature_37,0.0
feature_39+feature_40,0.0
feature_39+feature_41,0.0
feature_39+feature_42,0.0
feature_39+feature_43,0.0
feature_39+feature_44,0.0
feature_39+feature_45,0.0
feature_39+feature_62,0.00012018567
feature_39+feature_63,0.00056917244
feature_39+feature_77,0.00018238624
feature_39+feature_95,0.00047227356
feature_39+feature_113,0.00046816652
feature_39+feature_120,0.00028904935
feature_39+feature_121,0.00023409161
feature_40+feature_3,0.00057379156
feature_40+feature_4,0.00047573025
feature_40+feature_5,0.00059597625
feature_40+feature_27,0.00055477663
feature_40+feature_31,9.07863e-05
feature_40+feature_37,0.00010855426
feature_40+feature_39,0.001209771
feature_40+feature_41,0.00042784572
feature_40+feature_42,0.00091111916
feature_40+feature_43,0.0008479802
feature_40+feature_44,0.00066792493
feature_40+feature_45,0.0017497292
feature_40+feature_62,0.0002788065
feature_40+feature_63,0.0021234576
feature_40+feature_77,0.00023462427
feature_40+feature_95,0.0015625289
